ID,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
114,1598,Arete,U.S.A,2015,Belize,Maya Mountain,70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,strawberry,metallic,
115,1534,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,rich,rum,roasty
116,1534,Arete,U.S.A,2015,Peru,Nacional,68,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,nutty,rich cocoa,
117,1598,Arete,U.S.A,2015,Dominican republic,Oko Caribe,70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,brownie,nutty,
118,1602,Arete,U.S.A,2015,Ecuador,Camino Verde,75,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,floral,bourbon,
119,1602,Arete,U.S.A,2015,Guatemala,Guatemala,70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,strawberry,butterscotch,off,
120,1602,Arete,U.S.A,2015,Brazil,Fazenda Camboa,75,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,chemical off,,
178,1474,Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smoke,ham,papaya,
179,1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,coarse,smokey,metallic,
181,1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,black pepper,cardamom,,
182,1454,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,molasses,caramel,pungent,
190,1554,Bar Au Chocolat,U.S.A,2015,Brazil,Bahia,70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,smokey,dried fruit,
233,1486,Bisou,U.S.A,2015,Belize,Belize,86,3.25,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild bitter,diluted,vanilla,
234,1482,Bisou,U.S.A,2015,Nicaragua,"Nicaragua, American style",76,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bitter,molasses,flour,
235,1486,Bisou,U.S.A,2015,Costa rica,"San Andres, American style",76,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,molasses,metallic,earthy,
236,1486,Bisou,U.S.A,2015,Costa rica,"San Andres, silk",78,2.5,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sour,tart,molasses,
312,1462,Brasstown aka It's Chocolate,U.S.A,2015,Dominican republic,"Conacado, batch 001515",68,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,complex,brownie,lime,rich
318,1514,Brazen,U.S.A,2015,Guatemala,"Alta Verapaz, 2014, batch 69",70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,tart,tea,leather,sour
319,1514,Brazen,U.S.A,2015,Dominican republic,Elvesia P.,80,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bitter,dark berry,fatty,
320,1518,Brazen,U.S.A,2015,Belize,Maya Mountain,80,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild smoke,raisins,coffee,
321,1518,Brazen,U.S.A,2015,Madagascar,Ambolikapkly P.,60,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,citrus,sweet,cocoa,
322,1514,Brazen,U.S.A,2015,Dominican republic,Elvesia P.,60,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,sweet,brownie,
323,1518,Brazen,U.S.A,2015,Madagascar,Ambolikapiky P.,80,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bitter,tart,acidic,
329,1638,Britarev,Russia,2015,Ecuador,Ecuador,70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,powdery,floral,molasses,
344,1606,Cacao Arabuco,Puerto rico,2015,Puerto rico,Puerto Rico,70,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dirt,floral,sweet,
361,1688,Cacao de Origen,Venezuela,2015,Venezuela,Chuao,77,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,assertive,fruity,acidic,
362,1668,Cacao de Origen,Venezuela,2015,Venezuela,Hacienda la Trinidad,74,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,black licorice,nutty,
363,1692,Cacao de Origen,Venezuela,2015,Venezuela,Rio Caribe,75,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,nutty,ends sour,
371,1662,Cacao Hunters,Colombia,2015,Colombia,Arhuacos,72,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich,nutty,acidic,
388,1684,Cacao Store,Japan,2015,Vietnam,Vietnam,70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,balanced,dairy,spicy,
389,1684,Cacao Store,Japan,2015,Peru,Peru,70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dried fruit,sour,nutella,
390,1684,Cacao Store,Japan,2015,Madagascar,Madagascar,70,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sour milk,off,late tart,
419,1582,Caribeans,Costa rica,2015,Guatemala,"Antigua, Special Reserve",72,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,woody,spicy,tobacco,
420,1586,Caribeans,Costa rica,2015,Costa rica,Anselmo Paraiso Estate,72,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,acidic,astringent,spicy,
421,1586,Caribeans,Costa rica,2015,Costa rica,"Talamanca, Raul-Kekoldo community",72,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,earthy,acidic,
440,1570,Castronovo,U.S.A,2015,Dominican republic,"Duarte, Batch 360",70,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,med roast,grassy,dried fruit,
441,1570,Castronovo,U.S.A,2015,Honduras,"the lost city, gracias a dias, batch 362",72,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,black pepper,nutty,
442,1574,Castronovo,U.S.A,2015,Venezuela,"Piaroa, Amazonas, Batch 350",72,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,floral,roasty,
460,1454,Chocablog,U.k.,2015,Ecuador,Ecuador,70,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,earthy,,
463,1696,Choco Dong,South korea,2015,Malaysia,"Tawau, Oct. 2015 Harvest",70,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,high roast,banana raspberry,,
464,1696,Choco Dong,South korea,2015,Vietnam,"Mekong Delta, early 2014 Harvest",70,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,sour milk,off note,
467,1482,Chocolarder,U.k.,2015,Peru,"Peru + nibs, batch C6",65,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,flat,floral,medicinal,
468,1482,Chocolarder,U.k.,2015,Peru,"Peru, batch C7",65,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,flat,metallic,floral,
469,1514,Chocolarder,U.k.,2015,Dominican republic,"Dominican Republic, batch 5",80,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,earthy off notes,,
483,1530,Chocolate Makers,Netherlands,2015,Peru,"Peru, Awagum bar",80,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nuts,coffee,peanut butter,
484,1530,Chocolate Makers,Netherlands,2015,Congo,"Congo, Gorilla bar",68,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bold,rich cocoa,coffee,
485,1530,Chocolate Makers,Netherlands,2015,Dominican republic,Tres Hombres,75,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,earthy,coffee,mild,tang
490,1582,"Chocolate Tree, The",Scotland,2015,Peru,Maranon,69,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,orange,cocoa,
491,1582,"Chocolate Tree, The",Scotland,2015,Venezuela,Carenero Superior,80,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild bitter,fruit,spice,
505,1522,Chocovivo,U.S.A,2015,Mexico,Tabasco,65,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,coarse,sweet,sour,leathery
506,1522,Chocovivo,U.S.A,2015,Mexico,Tabasco,75,2.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,gritty,mild bitter,off notes,
527,1486,Cloudforest,U.S.A,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, batch 1",73,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,floral,bourbon,
530,1646,Coleman & Davis,U.S.A,2015,Madagascar,Sambirano,75,3,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,berry,spices,smoke,
531,1630,Condor,U.S.A,2015,Ecuador,Camino Verde,76,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bold,roasty,sticky,brownie
564,1654,Daintree,Australia,2015,Australia,Goodman Estate,70,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,candy like vanilla,off,
566,1610,Damson,U.k.,2015,Ecuador,Los Rios,70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,banana,,
567,1610,Damson,U.k.,2015,Trinidad,Robson Estate,70,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,sour,synthetic,off
568,1666,Damson,U.k.,2015,Nicaragua,O'Payo,70,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,grapes,pungent,
569,1666,Damson,U.k.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,70,2.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,off,pungent,intense,
582,1446,Dandelion,U.S.A,2015,Belize,"Maya Mtn., Break Bar- Snark",70,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,roasty,coffee,raisin
606,1550,Dark Forest,U.S.A,2015,Venezuela,Ocumare,70,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,nutty,sweet,
607,1554,Dark Forest,U.S.A,2015,Ecuador,Ecuador,70,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bold,floral,rum,
608,1550,Dark Forest,U.S.A,2015,Madagascar,Madagascar,70,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,strong sour,acidic,
609,1554,Dark Forest,U.S.A,2015,Tanzania,Tanzania,70,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,sweet,brownie,
615,1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,texture issues,brownie,,
616,1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,one dimensional,brownie,,
643,1634,Dick Taylor,U.S.A,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,rich,cherry,
659,1688,Doble & Bignall,U.k.,2015,Venezuela,Puerto Cabello,85,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,spicy,floral,
681,1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,floral,well developed,creamy,
682,1672,Domori,Italy,2015,Venezuela,Ocumare 77,70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,strawberry,creamy,
684,1676,Dormouse,U.k.,2015,Colombia,"Colombia, Batch 9",80,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,bitter,molasses,marshmallow,
685,1676,Dormouse,U.k.,2015,Madagascar,"Madagascar, Batch 8",77,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fruity,molasses,,
686,1672,Dormouse,U.k.,2015,Venezuela,"Rio Caribe, Batch 7",70,2.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,burnt rubber,molasses,,
706,1662,Duffy's,U.k.,2015,Guatemala,"Rio Dulce, Xoco",70,4,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,spicy,butterscotch,
710,1506,Dulcinea,U.S.A,2015,Dominican republic,"Dominican Republic, batch 1507",70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,coarse,earthy,mild banana,
711,1630,Durci,U.S.A,2015,Ecuador,Corona Arriba,70,4,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,blackberry and cinnamon,,,
712,1626,Durci,U.S.A,2015,Peru,"Maranon, Joya Rara",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,orange,butterscotch,
713,1626,Durci,U.S.A,2015,Venezuela,"Rio Caribe, Tepui Treasure",70,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,roasty,intense brownie,
714,1630,Durci,U.S.A,2015,Dominican republic,Taino Secret,70,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dates,acidic,rich cocoa,
715,1630,Durci,U.S.A,2015,Venezuela,"Carenero, Empyrean Sabor",70,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cherry,earthy,tobacco,
733,1662,El Rey,Venezuela,2015,Venezuela,San Joaquin,70,3.75,5,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,caramel,vanilla,
737,1454,Emily's,Japan,2015,Peru,Peru,78,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,brownine,nutty,,
738,1450,Emily's,Japan,2015,Venezuela,Patanemo,79,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,coarse,woody,roasty,
827,1538,Frederic Blondeel,Belgium,2015,Costa rica,Costa Rica,70,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,few grits,spicy,cocoa,
828,1538,Frederic Blondeel,Belgium,2015,Peru,Peru Brutus,75,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,very coarse,intense,spice,
829,1542,Frederic Blondeel,Belgium,2015,Vietnam,Vietnam,80,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,bitter,off notes,
838,1634,French Broad,U.S.A,2015,Guatemala,Guatemala,73,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,grapes,rich brownie,
900,1680,Friis Holm (Bonnat),Denmark,2015,Nicaragua,La Dalia,85,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,spicy,sour,
901,1680,Friis Holm (Bonnat),Denmark,2015,Nicaragua,La Dalia,60,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,sweet,dairy,bland
918,1642,Georgia Ramon,Germany,2015,Ghana,ABOCFA Coop,70,4,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa and coconut,,,
919,1646,Georgia Ramon,Germany,2015,Dominican republic,Conacado Coop,70,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sticky,spice,roasty,earthy
920,1646,Georgia Ramon,Germany,2015,Dominican republic,Conacado Coop,80,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,deep cocoa,fruit,spice,
921,1646,Georgia Ramon,Germany,2015,Madagascar,Akesson P.,75,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,red fruit,tart,fat,leathery
922,1642,Georgia Ramon,Germany,2015,Madagascar,Akesson P.,65,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,candy tart,
927,1672,Glennmade,U.S.A,2015,Brazil,Bahia,66,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild woody,black licorice,,
971,1602,Guittard,U.S.A,2015,Blend,"Epique, Blend No. 49",70,3.75,5,have_bean,have_cocoa_butter,have_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,black licorice,,
983,1700,Harper Macaw,U.S.A,2015,Brazil,"Tome Acu E., Amazon Rainforest",77,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich chocolate,sweet edge,,
984,1700,Harper Macaw,U.S.A,2015,Brazil,"Vale do Juliana E., Atlantic Forest",74,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich chocolate,sandy texture,,
985,1696,Harper Macaw,U.S.A,2015,Brazil,Brazil Blend,67,3,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,dried fruit,
1008,1462,hello cocoa,U.S.A,2015,Venezuela,Venezuela,74,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,sweet,mild fruit,
1009,1458,hello cocoa,U.S.A,2015,Uganda,Uganda,57,2.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,too sweet,spicy,candied,
1010,1550,hexx,U.S.A,2015,Ecuador,Ecuador,73,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_not_sugar,have_sweetener_without_sugar,floral,palm,sour,
1011,1550,hexx,U.S.A,2015,Peru,Peru,70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_not_sugar,have_sweetener_without_sugar,palm,spicy,flour,
1012,1546,hexx,U.S.A,2015,Madagascar,Madagascar,74,3,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_not_sugar,have_sweetener_without_sugar,sandy,tart,tangy,palm
